,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
46800,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027248e-06,0.0,0.032554053
50400,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027248e-06,0.0,0.032554053
54000,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027241e-06,0.0,0.032554053
57600,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027248e-06,0.0,0.032554053
61200,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027241e-06,0.0,0.032554053
64800,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027232e-06,0.0,0.032554053
68400,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027248e-06,0.0,0.032554053
72000,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027248e-06,0.0,0.032554053
75600,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027257e-06,0.0,0.032554053
79200,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027241e-06,0.0,0.032554053
82800,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027248e-06,0.0,0.032554053
86400,0.032554053,0.032554053,0.032554053,0.032554053,0.03255403,0.032554016,0.004400898,0.0,0.0,0.0,0.0,0.0,0.004408925,0.004408925,0.0044089253,0.032554053,0.032554053,0.032554053,0.028145127,0.0,0.028145127,-0.010015121,0.0,0.0,0.010023149,0.02815312,0.0,0.004400898,0.004400898,0.004408925,-0.028145105,0.0,-0.01812997,0.0,0.0,-0.010015122,8.027241e-06,0.0,0.032554053
